# Created by Octave 3.8.1, Sun Apr 19 22:45:00 2015 ART <nicolas@nicolas-HP-Pavilion-dm4-Notebook-PC>
# name: values
# type: matrix
# rows: 101
# columns: 2
 -5 -3.25
 -4.9 -3.395
 -4.8 -3.530000000000001
 -4.7 -3.654999999999998
 -4.6 -3.77
 -4.5 -3.875
 -4.4 -3.970000000000001
 -4.3 -4.055
 -4.2 -4.130000000000001
 -4.1 -4.194999999999999
 -4 -4.25
 -3.9 -4.295000000000001
 -3.8 -4.329999999999999
 -3.7 -4.355
 -3.6 -4.369999999999999
 -3.5 -4.375
 -3.4 -4.370000000000001
 -3.3 -4.355
 -3.2 -4.33
 -3.1 -4.294999999999999
 -3 -4.25
 -2.9 -4.195
 -2.8 -4.129999999999999
 -2.7 -4.055
 -2.6 -3.969999999999999
 -2.5 -3.875
 -2.4 -3.77
 -2.3 -3.654999999999999
 -2.2 -3.529999999999999
 -2.1 -3.395
 -2 -3.25
 -1.9 -3.095
 -1.8 -2.93
 -1.7 -2.755
 -1.6 -2.569999999999999
 -1.5 -2.375
 -1.4 -2.169999999999999
 -1.3 -1.954999999999999
 -1.2 -1.73
 -1.1 -1.494999999999999
 -1 -1.25
 -0.8999999999999995 -0.9949999999999988
 -0.7999999999999998 -0.7299999999999995
 -0.7000000000000002 -0.4550000000000005
 -0.5999999999999996 -0.169999999999999
 -0.5 0.125
 -0.3999999999999995 0.4300000000000017
 -0.2999999999999998 0.7450000000000006
 -0.1999999999999993 1.070000000000003
 -0.09999999999999964 1.405000000000001
 0 1.75
 0.1000000000000005 2.105000000000002
 0.2000000000000002 2.470000000000001
 0.3000000000000007 2.845000000000002
 0.4000000000000004 3.230000000000001
 0.5 3.625
 0.6000000000000005 4.030000000000002
 0.7000000000000002 4.445
 0.8000000000000007 4.870000000000003
 0.9000000000000004 5.305000000000001
 1 5.75
 1.100000000000001 6.205000000000003
 1.2 6.670000000000002
 1.300000000000001 7.145000000000003
 1.4 7.630000000000002
 1.5 8.125
 1.600000000000001 8.630000000000003
 1.7 9.145000000000001
 1.800000000000001 9.670000000000003
 1.9 10.205
 2 10.75
 2.100000000000001 11.305
 2.2 11.87
 2.300000000000001 12.445
 2.4 13.03
 2.5 13.625
 2.600000000000001 14.23
 2.7 14.845
 2.800000000000001 15.47
 2.9 16.105
 3 16.75
 3.1 17.405
 3.200000000000001 18.07000000000001
 3.300000000000001 18.745
 3.4 19.43
 3.5 20.125
 3.6 20.83
 3.700000000000001 21.54500000000001
 3.800000000000001 22.27
 3.9 23.005
 4 23.75
 4.1 24.505
 4.200000000000001 25.27000000000001
 4.300000000000001 26.04500000000001
 4.4 26.83000000000001
 4.5 27.625
 4.600000000000001 28.43000000000001
 4.700000000000001 29.24500000000001
 4.800000000000001 30.07000000000001
 4.9 30.905
 5 31.75


