# Created by Octave 3.8.1, Sun Apr 19 22:37:14 2015 ART <nicolas@nicolas-HP-Pavilion-dm4-Notebook-PC>
# name: values
# type: matrix
# rows: 101
# columns: 2
 -5 -14
 -4.9 -13.7
 -4.8 -13.4
 -4.7 -13.1
 -4.6 -12.8
 -4.5 -12.5
 -4.4 -12.2
 -4.3 -11.9
 -4.2 -11.6
 -4.1 -11.3
 -4 -11
 -3.9 -10.7
 -3.8 -10.4
 -3.7 -10.1
 -3.6 -9.799999999999999
 -3.5 -9.5
 -3.4 -9.199999999999999
 -3.3 -8.899999999999999
 -3.2 -8.600000000000001
 -3.1 -8.299999999999999
 -3 -8
 -2.9 -7.699999999999999
 -2.8 -7.399999999999999
 -2.7 -7.1
 -2.6 -6.799999999999999
 -2.5 -6.5
 -2.4 -6.199999999999999
 -2.3 -5.899999999999999
 -2.2 -5.6
 -2.1 -5.299999999999999
 -2 -5
 -1.9 -4.699999999999999
 -1.8 -4.399999999999999
 -1.7 -4.1
 -1.6 -3.799999999999999
 -1.5 -3.5
 -1.4 -3.199999999999999
 -1.3 -2.899999999999999
 -1.2 -2.599999999999999
 -1.1 -2.299999999999999
 -1 -2
 -0.8999999999999995 -1.699999999999998
 -0.7999999999999998 -1.399999999999999
 -0.7000000000000002 -1.100000000000001
 -0.5999999999999996 -0.7999999999999989
 -0.5 -0.5
 -0.3999999999999995 -0.1999999999999984
 -0.2999999999999998 0.1000000000000005
 -0.1999999999999993 0.4000000000000021
 -0.09999999999999964 0.7000000000000011
 0 1
 0.1000000000000005 1.300000000000002
 0.2000000000000002 1.600000000000001
 0.3000000000000007 1.900000000000002
 0.4000000000000004 2.200000000000001
 0.5 2.5
 0.6000000000000005 2.800000000000002
 0.7000000000000002 3.100000000000001
 0.8000000000000007 3.400000000000002
 0.9000000000000004 3.700000000000001
 1 4
 1.100000000000001 4.300000000000002
 1.2 4.600000000000001
 1.300000000000001 4.900000000000002
 1.4 5.200000000000001
 1.5 5.5
 1.600000000000001 5.800000000000002
 1.7 6.100000000000001
 1.800000000000001 6.400000000000002
 1.9 6.700000000000001
 2 7
 2.100000000000001 7.300000000000002
 2.2 7.600000000000001
 2.300000000000001 7.900000000000002
 2.4 8.200000000000001
 2.5 8.5
 2.600000000000001 8.800000000000001
 2.7 9.100000000000001
 2.800000000000001 9.400000000000002
 2.9 9.700000000000001
 3 10
 3.1 10.3
 3.200000000000001 10.6
 3.300000000000001 10.9
 3.4 11.2
 3.5 11.5
 3.6 11.8
 3.700000000000001 12.1
 3.800000000000001 12.4
 3.9 12.7
 4 13
 4.1 13.3
 4.200000000000001 13.6
 4.300000000000001 13.9
 4.4 14.2
 4.5 14.5
 4.600000000000001 14.8
 4.700000000000001 15.1
 4.800000000000001 15.4
 4.9 15.7
 5 16


