# Created by Octave 3.8.1, Sun Apr 19 23:31:51 2015 ART <nicolas@nicolas-HP-Pavilion-dm4-Notebook-PC>
# name: values
# type: matrix
# rows: 212
# columns: 2
 -15 2.812466509505636
 -14.5 -0.179067644591684
 -14.2 -0.9743698499097138
 -14.175 -0.9907004698276787
 -14.15 -0.9989295872770323
 -14.125 -0.9990378207698202
 -14.1 -0.991024915386339
 -14.075 -0.974909743402546
 -14.05 -0.9507302578415469
 -14.025 -0.9185433990647912
 -14 -0.8784249546355701
 -13.5 1.31979914724687
 -13 4.52059093015928
 -12.6 5.959593896952254
 -12.575 5.990923934769627
 -12.55 6.014762044709028
 -12.525 6.03109550513289
 -12.5 6.039930332941621
 -12.475 6.041291239259738
 -12.45 6.035221538426456
 -12.425 6.021783010536479
 -12.4 6.001055717892823
 -12 4.809109940011426
 -11.5 2.276953113688235
 -11.1 1.059743483984467
 -11.075 1.034618572706145
 -11.05 1.01627469368826
 -11.025 1.004760830978542
 -11 1.000107727366792
 -10.975 1.002327806316401
 -10.95 1.011415140416478
 -10.925 1.027345466433764
 -10.9 1.050076246926547
 -10.5 2.236507979298865
 -10 4.768267296329546
 -9.6 5.991987821313592
 -9.574999999999999 6.015273157074616
 -9.550000000000001 6.031302415338383
 -9.525 6.03998911345161
 -9.5 6.041264975021817
 -9.475 6.035080129673844
 -9.449999999999999 6.021403266874162
 -9.425000000000001 6.000221743420281
 -9.4 5.971541644308273
 -9 4.568831639490483
 -8.5 1.376022873221719
 -8 -0.8623366875935357
 -7.975 -0.9052416820441754
 -7.95 -0.9402464080767731
 -7.925 -0.9672684474726069
 -7.9 -0.9862441684596376
 -7.875 -0.9971288823156512
 -7.85 -0.9998969533539384
 -7.825 -0.9945418620176962
 -7.8 -0.9810762209260505
 -7.5 -0.2170637153512027
 -7 2.753225055904712
 -6.5 5.507220356262772
 -6.3 5.981489856018664
 -6.275 6.007783229234287
 -6.25 6.026574054083299
 -6.225 6.037862214838053
 -6.2 6.041666309654087
 -6.175 6.038023574828014
 -6.15 6.026989762512347
 -6.125 6.008638972211163
 -6.1 5.983063436496007
 -5.5 3.718817419534544
 -5 1.441709687433781
 -4.8 1.04210104145346
