# Created by Octave 3.8.1, Sat May 02 21:03:48 2015 ART <francisco@francisco-desktop>
# name: values
# type: matrix
# rows: 136
# columns: 2
 -10 4.768267296329546
 -9.9 5.201501329218629
 -9.800000000000001 5.560637416188419
 -9.699999999999999 5.828637598007336
 -9.6 5.991987821313592
 -9.5 6.041264975021817
 -9.4 5.971541644308273
 -9.300000000000001 5.782612155310088
 -9.199999999999999 5.479030603054057
 -9.1 5.069959048526417
 -9 4.568831639490483
 -8.9 3.992847751907362
 -8.800000000000001 3.362314071865969
 -8.699999999999999 2.699861569703239
 -8.6 2.029568317930366
 -8.5 1.376022873221719
 -8.4 0.7633653296776318
 -8.300000000000001 0.2143440605045487
 -8.199999999999999 -0.2505744383059884
 -8.1 -0.6140072819317903
 -8 -0.8623366875935357
 -7.899999999999999 -0.986244168459638
 -7.8 -0.9810762209260505
 -7.7 -0.8470269845385413
 -7.6 -0.5891306210647268
 -7.5 -0.2170637153512027
 -7.399999999999999 0.2552344553242156
 -7.3 0.8101087051346386
 -7.2 1.426880067509579
 -7.1 2.082655791101879
 -7 2.753225055904712
 -6.899999999999999 3.414004869458946
 -6.8 4.040998626220839
 -6.7 4.611729330043806
 -6.6 5.106110509407975
 -6.5 5.507220356262772
 -6.399999999999999 5.801948492241814
 -6.3 5.981489856018664
 -6.2 6.041666309654087
 -6.1 5.983063436496007
 -6 5.810977374396401
 -5.899999999999999 5.53517410180275
 -5.8 5.169471068717678
 -5.7 4.73115814164131
 -5.6 4.240281229328573
 -5.5 3.718817419534544
 -5.399999999999999 3.189774768189978
 -5.3 2.676252869908412
 -5.199999999999999 2.200501883438463
 -5.1 1.783017726246132
 -5 1.441709687433781
 -5 1.441709687433781
 -4.7 1.000844131458481
 -4.4 1.518323031704548
 -4.1 2.800812528112906
 -3.8 4.365637418689487
 -3.5 5.612489990719534
 -3.2 6.037928899702158
 -2.9 5.417309221609975
 -2.6 3.890048642079667
 -2.3 1.917837207018118
 -2 0.1297717105834826
 -1.7 -0.8920593881908514
 -1.4 -0.812116751994435
 -1.1 0.3432892881725271
 -0.8000000000000002 2.19504534219661
 -0.5000000000000002 4.141481379000216
 -0.2000000000000002 5.564513651213594
 0.09999999999999981 6.040033150170553
 0.3999999999999998 5.479538470350148
 0.6999999999999997 4.154119115938415
 0.9999999999999998 2.59303047516647
 1.3 1.392891925310352
 1.6 1.004689275657246
 1.9 1.573396951944163
 2.2 2.886497793884329
 2.5 4.449458700493633
 2.8 5.661685785686654
 3.1 6.031206953502943
 3.399999999999999 5.352651369022647
 3.7 3.78580584181468
 4 1.806697403266234
 4.3 0.04767392129050774
 4.6 -0.9182218678459552
 4.899999999999999 -0.7737314289385944
 5 -0.4761388618924959
 5.1 -0.06861163840933315
 5.2 0.4335925719981605
 5.3 1.01171798546061
 5.4 1.644245793078009
 5.5 2.30773676839376
 5.6 2.97774795358393
 5.7 3.629787056446035
 5.8 4.240266709890163
 5.9 4.78742077214228
 6 5.25214637799855
 6.1 5.618738427951815
 6.2 5.875487504019095
 6.3 6.015117656987362
 6.4 6.0350469019428
 6.5 5.937460332438404
 6.6 5.72919323643473
 6.7 5.421429171277003
 6.8 5.029225328498056
 6.9 4.57088439823534
 7 4.06719825334229
 7.100000000000001 3.540593871353626
 7.2 3.014215795207886
 7.3 2.510981946391767
 7.4 2.052650646947465
 7.5 1.658936238198275
 7.600000000000001 1.346708722998244
 7.7 1.12930948321546
 7.8 1.016010469823159
 7.9 1.011638515219907
 8 1.116379805653228
 8.1 1.325772339758382
 8.199999999999999 1.630886675053558
 8.300000000000001 2.018687728017135
 8.4 2.472563145854193
 8.5 2.9729970984687
 8.6 3.498362513678593
 8.700000000000001 4.025800029867615
 8.800000000000001 4.532148457649492
 8.9 4.994889464823132
 9 5.393068609973996
 9.1 5.708155773225121
 9.200000000000001 5.924810431254556
 9.300000000000001 6.031521002324211
 9.4 6.021092495214988
 9.5 5.890962734098198
 9.6 5.643334258867633
 9.700000000000001 5.285116345185442
 9.800000000000001 4.827679157684562
 9.9 4.286429541667986
 10 3.680225074550806


